date,tweet
2020-03-16,please fucking explain to me how this was a blessing.
2020-03-16,welcome to 2020
2020-03-15,"I think hes a 10, don't worry Simon i got you."
2020-03-14, pic.twitter.com/ctQCPHuVXw
2020-03-14, pic.twitter.com/4AZnnFslzD
2020-03-14,shut the fuck up 🤩
2020-03-14,Yktv bro
2020-03-14, pic.twitter.com/lkHG5yoCBT
2020-03-14, pic.twitter.com/TY4sMFBz6G
2020-03-14,already used that one bossman ^ pic.twitter.com/D2AYlt6mhO
2020-03-14, pic.twitter.com/fR6kxGt7Iu
2020-03-14, pic.twitter.com/snSPbmiA89
2020-03-14,for u ramby pic.twitter.com/BwyoDdgC4B
2020-03-14,huge L
2020-03-14,"Curious,  im not a Keem fanboy and dont really care for him, but why show hate to someone just cause, even when they have you blocked? Is life that boring for you? pic.twitter.com/UVR1OO2nhG"
2020-03-14, pic.twitter.com/mtdDZuJOt1
2020-03-14, pic.twitter.com/vTxopTAlXU
2020-03-13, pic.twitter.com/GPQUvWdcHx
2020-03-13,I hope i die.
2020-03-13,"If you represent his fans, nobody will want to be with his fanbase. Being toxic because someone doesn't like the same music as you."
2020-03-13, pic.twitter.com/W9YO2gFtlj
2020-03-13,shut up ur gay
2020-03-13,💛
2020-03-13,YOOO LMAO pic.twitter.com/ovUB2EMuuz
2020-03-13,"Even if they didnt, why would you go either way?"
2020-03-13,"So its the people who interpret it negatively is their fault for always taking things like that, not Myths fault."
2020-03-13,But he didnt even say anything lmao
2020-03-13, pic.twitter.com/dTQI1TIXBV
2020-03-12,we have this everywhere
2020-03-12,goodnight @joshhnvo if u dont say it back ur fake
2020-03-12,3 inches isnt good bro pic.twitter.com/awsdPBxtwW
2020-03-12,broo fine***
2020-03-12,theres no way you think you'd win against me pic.twitter.com/yNHH2fsiHC
2020-03-12,bro im literally baptizing you on that no bullshit
2020-03-12,ggs josh pic.twitter.com/R0UvI9zGIa
2020-03-12,me rn pic.twitter.com/6DHEf3ZasB
2020-03-12,when sent it i was like this pic.twitter.com/GBi7tg6bnc
2020-03-12,"bro u sent me ur shit ur extremely average, download it"
2020-03-12,u need it bro
2020-03-12,no sir im keeping mine
2020-03-12,good try but im 6'2 and jacked good luck even reaching my head hahahaha
2020-03-12,i can always try something new
2020-03-12,💀💀
2020-03-12,get a room idiots
2020-03-12,"@smdthunder @416romo 
Have fun boys"
2020-03-12, pic.twitter.com/VdyeZWhdTK
2020-03-12,Make this ur new pfp bro
2020-03-12,sounds like a team in debt
2020-03-12,what happen
2020-03-11,ok lmk
2020-03-11,yes
2020-03-11,"i wish i could help bro, even one of my good friends have crippling anxiety. gotta find your confidence bro"
2020-03-11,Bro cmon pic.twitter.com/ElIAF01lW0
2020-03-11,I meant you shut josh down idiot
2020-03-11,bruh i just left my house
2020-03-11,@TodayIWasSilly @SaskiaKnows @TeddyRecKs @joshhnvo easy 1v4
2020-03-11,bro what Hppend
2020-03-11,Is that Teddy in the flesh? pic.twitter.com/6cCGiQfpHC
2020-03-11,LMAOOOOO Rip your vbucks
2020-03-11,Shut that down asap
2020-03-10, pic.twitter.com/CtM1YVYBJr
2020-03-10,this kinda creepy
2020-03-10,hyper realistic bandanna got damn
2020-03-10,😂😂😂
2020-03-10,Nah too late pic.twitter.com/CNNZs9XYbl
2020-03-10,What does that even mean??
2020-03-10,i could vouch you look better
2020-03-09,lmk
2020-03-09,"idk i might, if not we can still do console"
2020-03-09,i might get a pc soon
2020-03-09, pic.twitter.com/3NTx3LxxnB
2020-03-09,??????????????
2020-03-09,Wale up in the morning? Is that what they say in wales?
2020-03-09, pic.twitter.com/1SOfBu8nMV
2020-03-08,appreciate those
2020-03-08,"I have no more, so enjoy this. pic.twitter.com/XfZzNxpqKm"
2020-03-08, pic.twitter.com/lgoljyMkt4
2020-03-08, pic.twitter.com/OFJfMGkYn8
2020-03-08, pic.twitter.com/VMIznsktRr
2020-03-08, pic.twitter.com/iET2hkFtTl
2020-03-08,@416romo
2020-03-07,bro u dodged my xps duos :(
2020-03-07,no way to fix that as far as i know
2020-03-07,???
2020-03-07, pic.twitter.com/gNjGnUa1hW
2020-03-06,"Electricity, white hair, assassin"
2020-03-06,whenever u get vbuck
2020-03-06,u said u would gift
2020-03-06,fake
2020-03-06,Stick to fifa homie
2020-03-06,Its ok bro chill here wit me pic.twitter.com/Xwi1MQpLGk
2020-03-06, pic.twitter.com/EBrfQ3hpnD
2020-03-06, pic.twitter.com/WoTqq2iR1X
2020-03-06,Cap
2020-03-06,You're ass
2020-03-06,Just kidding bb pic.twitter.com/1Y3R3BzQbn
2020-03-06,❤
2020-03-06,no sir
2020-03-06,"im broke, xps mw?"
2020-03-05,shutcho ass up
2020-03-05, pic.twitter.com/x4mFbJmsD3
2020-03-05, pic.twitter.com/JpmfSGwaTn
2020-03-05,@Yarppie not a fucking chance
2020-03-05,ok crack dealer
2020-03-05,6'6 :(
2020-03-05,She needs an upgrade my guy
2020-03-05,i fw this but was this taken with an android?
2020-03-04, pic.twitter.com/v0lbMiA0v1
2020-03-04, pic.twitter.com/XhPEG4mrya
2020-03-04,@comcast
2020-03-04,????????????????????
2020-03-04,?????
2020-03-04,i gotchu Ted
2020-03-04, pic.twitter.com/npQdxq9ANK
2020-03-04,;(( Whyyy i hope everything goes good for you bro
2020-03-04,ok edge lord
2020-03-03,Finally nigga
2020-03-03, pic.twitter.com/p0RqOuDFMi
2020-03-02, pic.twitter.com/YeI7kEYHen
2020-03-02, pic.twitter.com/mr5s81R0RW
2020-03-02,then it isnt lol
2020-03-02,Lucid?
2020-03-02, pic.twitter.com/KO3HgyBiL3
2020-03-02,i wish i made someone horny 😔
2020-03-02,@DownloaderBot
2020-03-02, pic.twitter.com/00z58G8C2V
2020-03-02,"Now that looks good, aint got nothin on mine doe pic.twitter.com/Tc4CVgoIla"
2020-03-02, pic.twitter.com/vKdc7Xixfx
2020-03-01, pic.twitter.com/uB4e8nyI0H
2020-03-01, pic.twitter.com/VZLqe6lqan
2020-03-01,I still cant believe josh is a bully pic.twitter.com/KPvjCyJccG
2020-03-01,i cant tell if you're trolling or not pic.twitter.com/Masc9emgbI
2020-03-01, pic.twitter.com/H6LST2RLGx
2020-03-01,Coulda bought me a skin ong
2020-03-01, pic.twitter.com/IemBkSi1dX
2020-03-01,this guy always gives me a laugh hope u ha ha pic.twitter.com/cTsnjlvjK3
2020-03-01, pic.twitter.com/ZDPa6whOfg
2020-02-29, pic.twitter.com/MyoKSqY4eP
2020-02-29, pic.twitter.com/kRAOdaYKt7
2020-02-29,Ggs
2020-02-29,Fort with me and joe?
2020-02-29,vibin pic.twitter.com/zBGnkEuCC4
2020-02-29,Good morning joe how are you
2020-02-29,life sucks but i smile 😁
2020-02-28,Bro...im not gay pic.twitter.com/BrIbVJEWP4
2020-02-28,"Yea and my name is big daddy, buy me a skin"
2020-02-28,buy me a skin rn
2020-02-28,okay then come to my house rn
2020-02-28,"you dont own a gun, you're in Canada"
2020-02-28, pic.twitter.com/LXN7XwmAiI
2020-02-27,"Thank you Joe, very cool"
